analysis_mode,analysis_scale,record_type,protocol,model_id,contrast_id,first_model,comparator_model,metric_scope,metric,estimate_definition,cluster_unit,n_clusters,n_domains,n_bootstrap,ci_method,observed,bootstrap_mean,ci_low,ci_high,n_valid,domains_fixed
post_hoc_exploratory,formal_row_level,contrast,source_ood,,full_vs_chemistry_extra_trees,full_context_extra_trees,chemistry_extra_trees,domain_macro,calibration_intercept,"first minus comparator; positive R2 delta favors first, but calibration coefficient deltas have no generic superiority direction",global scaffold_id,667,4,10000,percentile_2.5_97.5,1.4910324135437627,1.5416648461409863,0.1573832096757308,3.4103645182326967,10000,True
post_hoc_exploratory,formal_row_level,contrast,source_ood,,full_vs_chemistry_extra_trees,full_context_extra_trees,chemistry_extra_trees,domain_macro,calibration_slope,"first minus comparator; positive R2 delta favors first, but calibration coefficient deltas have no generic superiority direction",global scaffold_id,667,4,10000,percentile_2.5_97.5,-0.200200710470564,-0.2069745295663431,-0.4602520177832991,-0.0173300305422901,10000,True
post_hoc_exploratory,formal_row_level,contrast,source_ood,,full_vs_chemistry_extra_trees,full_context_extra_trees,chemistry_extra_trees,domain_macro,r2,"first minus comparator; positive R2 delta favors first, but calibration coefficient deltas have no generic superiority direction",global scaffold_id,667,4,10000,percentile_2.5_97.5,0.0022872250069844,-0.0014593773765166,-0.0728385996392833,0.0539252937852619,10000,True
post_hoc_exploratory,formal_row_level,contrast,source_ood,,full_vs_chemistry_extra_trees,full_context_extra_trees,chemistry_extra_trees,pooled,calibration_intercept,"first minus comparator; positive R2 delta favors first, but calibration coefficient deltas have no generic superiority direction",global scaffold_id,667,4,10000,percentile_2.5_97.5,-0.6829176791526937,-0.6640126549722983,-2.004297560229168,0.5742848309115262,10000,True
post_hoc_exploratory,formal_row_level,contrast,source_ood,,full_vs_chemistry_extra_trees,full_context_extra_trees,chemistry_extra_trees,pooled,calibration_slope,"first minus comparator; positive R2 delta favors first, but calibration coefficient deltas have no generic superiority direction",global scaffold_id,667,4,10000,percentile_2.5_97.5,0.0923175548292172,0.0898080541927095,-0.0815945602338691,0.2770074030895172,10000,True
post_hoc_exploratory,formal_row_level,contrast,source_ood,,full_vs_chemistry_extra_trees,full_context_extra_trees,chemistry_extra_trees,pooled,r2,"first minus comparator; positive R2 delta favors first, but calibration coefficient deltas have no generic superiority direction",global scaffold_id,667,4,10000,percentile_2.5_97.5,0.0376898582454523,0.0374825483351025,-0.0148260282175511,0.0914994582280483,10000,True
post_hoc_exploratory,formal_row_level,model,source_ood,chemistry_extra_trees,,,,domain_macro,calibration_intercept,model estimate,global scaffold_id,667,4,10000,percentile_2.5_97.5,1.7758156832289422,1.9642693816826904,0.2734821021902471,3.9117774318697767,10000,True
post_hoc_exploratory,formal_row_level,model,source_ood,chemistry_extra_trees,,,,domain_macro,calibration_slope,model estimate,global scaffold_id,667,4,10000,percentile_2.5_97.5,0.7649424271432634,0.7402209655225271,0.4775706746402447,0.971272867585556,10000,True
post_hoc_exploratory,formal_row_level,model,source_ood,chemistry_extra_trees,,,,domain_macro,r2,model estimate,global scaffold_id,667,4,10000,percentile_2.5_97.5,0.0014985820116253,-0.0198099278752794,-0.1253869932651779,0.0652195164203358,10000,True
post_hoc_exploratory,formal_row_level,model,source_ood,chemistry_extra_trees,,,,pooled,calibration_intercept,model estimate,global scaffold_id,667,4,10000,percentile_2.5_97.5,4.127051452325167,4.1513870681406,2.581764870066696,5.783722145060454,10000,True
